id,nombre,precio,stock,bodega,vendidos
542,Lego DC Super-Villains,,,,
543,Lego Harry Potter Collection,,,,
544,Lego The Incredibles,,,,
545,Lego Marvel Super Heroes 2,,,,
546,The Lego Movie 2 Videogame,,,,
547,The Lego Ninjago Movie Video Game,,,,
548,Lego Worlds,,,,
549,Legrand Legacy: Tale of the Fatebounds,,,,
550,Letter Quest Remastered,,,,
551,L.F.O.: Lost Future Omega,,,,
552,The Liar Princess and the Blind Prince,,,,
553,Lichtspeer: Double Speer Edition,,,,
554,Light Fall,,,,
555,Light Fingers,,,,
556,Lightseekers,,,,
557,Limbo,,,,
558,Little Dragons Café,,,,
559,Little Friends: Dogs & Cats,,,,
560,Little Inferno,,,,
561,Little Nightmares,,,,
562,Little Shopping,,,,
563,Little Triangle,,,,
564,Lode Runner Legacy,,,,
565,The Long Reach,,,,
566,The Longest Five Minutes,,,,
567,The Lost Child,,,,
568,The Lost Light of Sisu,,,,
569,Lost Sphear,,,,
570,Lovers in a Dangerous Spacetime,,,,
571,Lumines,,,,
572,Lumo,,,,
573,Mad Carnage,,,,
574,A Magical High-School Girl,,,,
575,Magic Scroll Tactics,,,,
576,Mahjong Stories: Vampire Romance,,,,
577,Maid of Sker,,,,
578,Mana Spark,,,,
579,Mantis Burn Racing,,,,
580,Marble It Up!,,,,
581,Maria the Witch,,,,
582,Mario & Sonic at the Tokyo 2020 Olympic Games,,,,
583,Mario + Rabbids Kingdom Battle,,,,
584,Mario Kart 8 Deluxe,,,,
585,Mario Tennis Aces,,,,
586,Mark of the Ninja,,,,
587,Marvel Ultimate Alliance 3: The Black Order,,,,
588,Masquerada: Songs and Shadows,,,,
589,Masters of Anima,,,,
590,Max: The Curse of Brotherhood,,,,
591,Mecho Tales,,,,
592,Mecho Wars: Desert Ashes,,,,
593,Mechsternmination Force,,,,
594,Mega Man 11,,,,
595,Mega Man Legacy Collection,,,,
596,Mega Man Legacy Collection 2,,,,
597,Mega Man X Legacy Collection,,,,
598,Mega Man X Legacy Collection 2,,,,
599,Mega Mall Story,,,,
600,Megaton Rainfall,,,,
601,Membrane,,,,
602,The Men of Yoshiwara: Kikuya,,,,
603,The Men of Yoshiwara: Ohgiya,,,,
604,Mercenaries Saga Chronicles,,,,
605,Mercenary Kings: Reloaded,,,,
606,Mercury Race,,,,
607,The Messenger,,,,
608,Metropolis: Lux Obscura,,,,
609,Midnight Deluxe,,,,
610,The Midnight Sanctuary,,,,
611,Mighty Gunvolt Burst,,,,
612,Milanoir,,,,
613,Miles & Kilo,,,,
614,Millie,,,,
615,Mindball Play,,,,
616,Minecraft,,,,
617,Minecraft: Story Mode,,,,
618,Minecraft: Story Mode - Season Two,,,,
619,Minesweeper Genius,,,,
620,Mini Metro,,,,
621,Minit,,,,
622,Mom Hid My Game!,,,,
623,Momodora: Reverie Under the Moonlight,,,,
624,Momonga Pinball Adventures,,,,
625,Monica and the Rabbit Guard,,,,
626,Monopoly,,,,
627,Monster Boy and the Cursed Kingdom,,,,
628,Monster Energy Supercross: The Official Videogame,,,,
629,Monster Energy Supercross: The Official Videogame 2,,,,
630,Monster Hunter Generations Ultimate,,,,
631,Monster Jam: Crush It!,,,,
632,Monument Builders Rushmore,,,,
633,Moon Hunters,,,,
634,Moonlighter,,,,
635,Moorhuhn Knights & Castles,,,,
636,Moorhuhn Remake,,,,
637,Morphies Law,,,,
638,Morphite,,,,
639,Mortal Kombat 11,,,,
640,Mother Russia Bleeds,,,,
641,Moto Racer 4,,,,
642,MotoGP 18,,,,
643,MotoGP 19,,,,
644,Motorsport Manager,,,,
645,Mr. Shifty,,,,
646,Muddledash,,,,
647,Mujo,,,,
648,Mulaka,,,,
649,The Mummy Demastered,,,,
650,Mushroom Wars 2,,,,
651,Musynx,,,,
652,Mutant Football League,,,,
653,Mutant Mudds Collection,,,,
654,MXGP3,,,,
655,My Arctic Farm 2018,,,,
656,My Friend Pedro,,,,
657,My Girlfriend is a Mermaid?!,,,,
658,My Hero: One's Justice,,,,
659,My Jurassic Farm 2018,,,,
660,My Little Riding Champion,,,,
661,My Riding Stables: Life with Horses,,,,
662,My Time at Portia,,,,
663,The Mystery of the Hudson Case,,,,
664,The Mystery of Woolley Mountain,,,,
665,N++,,,,
666,Nairi: Tower of Shirin,,,,
667,Namco Museum,,,,
668,Namco Museum Arcade Pac,,,,
669,Naruto: Ultimate Ninja Storm,,,,
670,Naruto Shippuden: Ultimate Ninja Storm 2,,,,
671,Naruto Shippuden: Ultimate Ninja Storm 3,,,,
672,NBA 2K18,,,,
673,NBA 2K19,,,,
674,NBA 2K Playgrounds 2,,,,
675,NBA Playgrounds,,,,
676,Necrosphere Deluxe,,,,
677,Nefarious,,,,
678,Nekopara Vol. 1,,,,
679,Nelke & the Legendary Alchemists: Ateliers of the New World,,,,
680,Neo Atlas 1469,,,,
